"firstName","lastName","birthCountry","orgName","orgCountry"
"Marie","Curie","Poland","Sorbonne University","France"
"Marie","Curie","Poland","nan","nan"
"Shimon","Peres","Poland (now Belarus)","nan","nan"
"Andrew V.","Schally","Poland (now Lithuania)","Veterans Administration Hospital","USA"
"Andrew V.","Schally","Poland (now Lithuania)","Veterans Administration Hospital","United States"
"Roald","Hoffmann","Poland (now Ukraine)","Cornell University","USA"
"Roald","Hoffmann","Poland (now Ukraine)","Cornell University","United States"
"José","Saramago","Portugal","nan","nan"
"Adolf","von Baeyer","Prussia (now Germany)","Munich University","Germany"
"Paul","Heyse","Prussia (now Germany)","nan","nan"
"Emil","Fischer","Prussia (now Germany)","Berlin University","Germany"
"Hans G.","Dehmelt","Prussia (now Germany)","University of Washington","USA"
"Hans G.","Dehmelt","Prussia (now Germany)","University of Washington","United States"
"Wilhelm Conrad","Röntgen","Prussia (now Germany)","Munich University","Germany"
"Gerhart","Hauptmann","Prussia (now Poland)","nan","nan"
"Fritz","Haber","Prussia (now Poland)","Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie","Germany"
"Walther","Nernst","Prussia (now Poland)","Berlin University","Germany"
"Emil","von Behring","Prussia (now Poland)","Marburg University","Germany"
"Kurt","Alder","Prussia (now Poland)","Cologne University","Germany"
"Paul","Ehrlich","Prussia (now Poland)","Goettingen University","Germany"
"Albert A.","Michelson","Prussia (now Poland)","University of Chicago","USA"
"Albert A.","Michelson","Prussia (now Poland)","University of Chicago","United States"
"Wilhelm","Wien","Prussia (now Russia)","Würzburg University","Germany"
"Stefan W.","Hell","Romania","Max Planck Institute for Biophysical Chemistry","Germany"
"George E.","Palade","Romania","Yale University School of Medicine","USA"
"George E.","Palade","Romania","Yale University School of Medicine","United States"
"Herta","Müller","Romania","nan","nan"
"Elie","Wiesel","Romania","nan","nan"
"Aleksandr","Solzhenitsyn","Russia","nan","nan"
"Il´ja M.","Frank","Russia","Lomonosov Moscow State University","USSR (now Russia)"
"Andrei","Sakharov","Russia","nan","nan"
"Boris","Pasternak","Russia","nan","nan"
"Ilya","Prigogine","Russia","Université Libre de Bruxelles","Belgium"
"Leonid","Hurwicz","Russia","University of Minnesota","USA"
"Leonid","Hurwicz","Russia","University of Minnesota","United States"
"Paul","Karrer","Russia","University of Zurich","Switzerland"
"Vitaly L.","Ginzburg","Russia","P.N. Lebedev Physical Institute","USSR (now Russia)"
"Konstantin","Novoselov","Russia","University of Manchester","United Kingdom"
"Pavel A.","Cherenkov","Russia","P.N. Lebedev Physical Institute","USSR (now Russia)"
"Nikolay","Semenov","Russia","Institute for Chemical Physics of the Academy of Sciences of the USSR","USSR (now Russia)"
"Andre","Geim","Russia","University of Manchester","United Kingdom"
"Wassily","Leontief","Russia","Harvard University","USA"
"Wassily","Leontief","Russia","Harvard University","United States"
"Mikhail","Sholokhov","Russia","nan","nan"
"Igor Y.","Tamm","Russia","Lomonosov Moscow State University","USSR (now Russia)"
"Ivan","Bunin","Russia","nan","nan"
"Ales","Bialiatski","Russia","nan","nan"
"Dmitry","Muratov","Russia","nan","nan"
"Aleksey","Yekimov","Russia","Nanocrystals Technology Inc.","USA"
"Aleksey","Yekimov","Russia","Nanocrystals Technology Inc.","United States"
"Joseph","Brodsky","Russia","nan","nan"
"Alexei","Abrikosov","Russia","Argonne National Laboratory","USA"
"Alexei","Abrikosov","Russia","Argonne National Laboratory","United States"
"Mikhail","Gorbachev","Russia","nan","nan"
"Nicolay G.","Basov","Russia","P.N. Lebedev Physical Institute","USSR (now Russia)"
"Lev","Landau","Russian Empire (now Azerbaijan)","Academy of Sciences","Russia"
